,specialty,university,mark_mean_years,placesCount_years,budgetCount_years,contractCount_years,budget_mark_mean_years,abit_count_years,mark_max_years,mark_min_years,budget_mark_max_years,budget_mark_min_years
57313,Менеджмент,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,163.97973135755257,215.41347992351817,73.48781070745697,90.28752390057362,183.67490689744136,1225.970363288719,200.0,118.38381931166349,195.57388479923517,144.22519120458892
59041,Матеріалознавство,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,150.2847377892031,121.54498714652956,57.745501285347046,24.591259640102827,153.11164459554075,134.67609254498714,193.17444215938306,115.79322879177377,186.421470437018,134.1202904884319
59163,Математика,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,166.53903008595992,60.0,48.60171919770774,11.977077363896848,169.5223920157019,234.7593123209169,193.98638681948424,123.50124355300859,191.5118137535817,151.3704799426934
59416,Маркетинг,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,164.05174843610368,80.0,17.606791778373548,41.93565683646113,186.23064908025202,755.0116175156389,200.0,117.6030384271671,190.66586237712244,171.22730116175157
60244,Кібербезпека,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,167.65697973637617,180.0,91.92543773362188,62.24729490458391,186.74586782691776,1707.9211095809562,200.0,116.30215423962227,198.48533346448946,147.94493409403896
62145,Комп’ютернаінженерія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,171.46332352563275,158.34511113966337,118.70846717204162,30.17268405499165,184.74782889784453,1410.5634074264422,199.62011435179238,118.83117049980727,195.64453347038418,154.16007966079917
65100,Комп'ютернінауки,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,171.47867817214805,168.79626614566374,99.99251058287203,47.29946814284164,184.8817079081412,1810.9921849560403,199.82714642353196,116.44292304352544,197.9845598610659,150.9684901769239
67693,Енергетичнемашинобудування,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,151.75878703703705,33.75,15.583333333333334,14.833333333333334,151.8300130952381,55.5,180.90416666666667,122.0625,173.60008333333334,137.57083333333335
67756,Електроніка,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,158.3491446111869,223.3492496589359,130.0,93.34924965893588,163.74316430417377,366.6971350613915,198.39130968622098,113.44981309686221,198.39130968622098,139.56527967257844
68131,"Електроенергетика,електротехнікатаелектромеханіка",Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,155.85206455445538,206.76712871287128,138.81861386138613,43.69346534653465,158.6348753027548,451.030099009901,196.02106336633662,111.71415207920792,192.29106891089108,129.05637267326733
